id,smiles,inchikey,mwt,clogp,SMILES,Klebsiella pneumoniae: predicted MIC (µM),Klebsiella pneumoniae: predicted MIC (µg / mL),Klebsiella pneumoniae: log10(variance),Klebsiella pneumoniae: Tanimoto nearest neighbor to training data,pmic
68422175,CC1=CC(=O)C2=C(C)CCC3C(C)C(=O)OC3C12,BJPSSVHNEGMBDQ-UHFFFAOYSA-N,246.125594436,2.419600000000001,CC1=CC(=O)C2=C(C)CCC3C(C)C(=O)OC3C12,394.0719909667969,96.99120431826103,-2.646651029586792,0.16883116960525513,
30776478,CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NCCCCC2NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,VRKHYMXTJQCIND-UHFFFAOYSA-N,1421.7489412159996,-1.6776000000000149,CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NCCCCC2NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,1733.3284912109375,2464.3579051262277,-2.1605889797210693,0.29931971430778503,
72766875,Cc1c2oc3c(C)ccc(C(=O)OC(C)C4NC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)OC(C)C2NC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,QKRYGAZNLBVXHK-UHFFFAOYSA-N,1254.6284746719996,0.725640000000003,Cc1c2oc3c(C)ccc(C(=O)OC(C)C4NC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)OC(C)C2NC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,335.7842712402344,421.28452688996873,-1.6275863647460938,0.5086206793785095,
10374767,CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,LHYHMMRYTDARSZ-UHFFFAOYSA-N,222.198365452,3.7759000000000027,CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,806.2098999023438,179.1385268433334,-1.8668993711471558,0.21666666865348816,
62726267,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,NAVMQTYZDKMPEU-UHFFFAOYSA-N,348.208930136,6.103720000000005,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,402.47528076171875,140.145482354153,-4.936629295349121,0.22033898532390594,
43375785,CC1=CC(=O)c2c(O)cccc2C1=O,VCMMXZQDRFWYSE-UHFFFAOYSA-N,188.047344116,1.7175,CC1=CC(=O)c2c(O)cccc2C1=O,364.0973815917969,68.46754654944078,-3.5002360343933105,0.27272728085517883,
22938689,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,UPUDVKWQBVIKBG-UHFFFAOYSA-N,431.18633611999996,5.842200000000006,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,1010.4630126953125,435.69783847191013,-2.323435068130493,0.23529411852359772,
12791325,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O,GGRBYIUPUOYRLQ-UHFFFAOYSA-N,447.20055026799986,1.4013000000000007,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O,232.56967163085938,104.00528203696167,-2.823942184448242,0.2857142984867096,
65489491,Oc1ccc2ccccc2c1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,144.057514876,2.5454,Oc1ccc2ccccc2c1,1525.280029296875,219.72806328720782,-1.8653618097305298,0.3529411852359772,
27950404,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,PVHUJELLJLJGLN-UHFFFAOYSA-N,360.13213635999995,2.5657000000000005,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,1690.4398193359375,608.7817038689122,-1.9898030757904053,0.3709677457809448,
