Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K08161618,OC[C@@H]1CCCCN1,0.96943856,1.021626337,1.009186286,1.014187572,10648139
BRD-K01882265,CCn1nc(cc1C(=O)NN)C,0.925712282,0.963161799,1.012968149,0.892792414,10674423
TAGATOSE,OCC1(O)OCC(O)C(O)C1O,0.954735,1.112941458,0.999756588,1.072083716,10679805
BRD-K89105446,C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)Cc1ccccc1)NC(=O)c1cc(nn1C)C,0.918235519,1.035840836,0.976255184,0.993678691,10682393
BRD-K05907338,C[C@H]1CN([C@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@H]1CN(C)Cc1cccc(c1)C(F)(F)F,1.233317578,1.051907733,0.767872665,0.995138811,10696702
BRD-K08210855,CN(C)CCCN1C(=O)[C@]2(Cc3ccccc31)[C@@H](N(Cc1ccccc1)C(=O)c1ccccc12)c1ccc(cc1)CO,0.857471911,1.033120819,1.00974179,1.054076134,10707827
BRD-K53999508,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)C,0.919817528,1.00145792,0.993590291,0.944128898,10722688
BRD-K30033690,Cc1ccc(cc1)S(=O)(=O)N[C@H]1C=C[C@@H](CC(=O)NCCN2CCCCC2)O[C@@H]1CO,0.977379753,1.093653518,1.011985856,0.974952514,10745105
BRD-K29914954,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2cccs2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)Cl,1.140963784,0.998477322,0.975843599,0.956160969,10747800
BRD-K07649169,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)Cc1ccc(c(c1)Cl)Cl)NC(=O)Nc1cccc2ccccc12,0.792189905,0.996260234,0.977900323,0.953242299,10760282
BRD-K81675613,C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccc(cc1)F,0.939965365,0.9999178,0.994083872,1.034117834,10776702
BRD-K00202713,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)NC2CCCCC2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccncc1,1.14817221,1.003962363,1.001386271,1.019114849,10777498
BRD-K22589098,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccc(cc2)C)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)F,0.914907065,0.981680948,1.013554155,0.991861153,10795073
BRD-K30821056,C[C@@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1cccc(c1)F,1.170971571,1.008814946,0.992746493,1.01042402,10812778
BRD-K57540096,COc1ccc(cc1)NC(=O)N(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)NC(=O)NC(C)C,1.155953711,0.942043119,0.996891811,0.976208081,10815504
BRD-K70892056,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)Cc1ccc(c(c1)Cl)Cl)NS(=O)(=O)c1cccs1,0.88606037,1.018908144,0.974071576,1.028169811,10817948
