Name,SMILES,Mean,id
BRD-K64449381,COCC(=O)Nc1ccc2c(c1)C(=O)N(C)C[C@H](OC)[C@H](C)CN(Cc1cccc(F)c1)[C@H](C)CO2,0.99837407,12894232
ADENOSINE 5-MONOPHOSPHATE,Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,0.89844,13122042
BRD-A66746621,C[C@@H](O)c1ccc2ccccc2c1,0.829489293,13141194
BRD-K88651525,C[C@@H]1[C@@H]([Si](C)(C)F)[C@H](CCn2cc([C@H](O)c3ccccc3)nn2)O[C@@]12C(=O)N(c1ccccc1)c1ccccc12,0.949262237,13249348
LEUCOVORIN CALCIUM,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],0.85222,13424335
BRD-A31685853,O=C(O)[C@@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,1.079723925,13476708
BRD-K10134498,O=C(C[C@@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2)[C@H](CO)O1)NCc1ccc(Cl)c(Cl)c1,0.858526519,13611305
CYPROHEPTADINE HYDROCHLORIDE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl,0.96504,13970665
METHYL DEOXYCHOLATE,COC(=O)CCC(C)C1CCC2C3CC[C@@H]4C[C@H](O)CC[C@]4(C)C3C[C@H](O)[C@]12C,0.918775,14039487
DILOXANIDE FUROATE,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,0.88792,14063087
BRD-K84803513,O=C(CCCCC(=O)N/N=C/[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)NO,0.937465921,14175312
TOLFENAMIC ACID,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,0.941945,14259122
CLINDAMYCIN HYDROCHLORIDE,CCC[C@@H]1C[C@@H](C(=O)N[C@@H](C2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1.Cl,0.48934,14715171
BRD-K25520808,COc1cc2c(cc1OC)CN(C(=O)[C@H]1[C@@H]3C(=O)O[C@@H](c4ccccc4)[C@@H](c4ccccc4)N3[C@@H](c3ccc(OCCO)cc3)[C@]13C(=O)Nc1ccc(C#CC4(O)CCCCCC4)cc13)CC2,1.342945281,14786535
BRD-K94520238,O=C(C[C@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2C(=O)Nc2cccc(F)c2)O1)NCc1ccccc1Cl,0.998817561,14858818
AZAPERONE,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,0.875915,14988858
BRD-K21491412,C/C=C/c1ccc2c(c1)O[C@@H](CN(C)S(=O)(=O)c1ccccc1OC)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,1.082049431,15459492
BRD-K75533297,COc1ccccc1S(=O)(=O)N[C@@H]1C=C[C@H](CC(=O)N2CCN(C)CC2)O[C@H]1CO,1.054641838,15576481
BRD-K34566599,CC1=NCC[C@@H](C(=O)O)N1,1.02483494,15642314
BRD-K19590321,CC1(C)C(=O)NCCN1C(=O)Cc1ccccc1,1.003311447,15753345
BRD-K53415253,Cc1nnc(=O)[nH]c1NNc1ccccc1,0.745357775,15819884
BRD-A08636822,CC(C)C[C@@H](NC(=O)[C@@H](C)N)C(=O)O,0.9251293,15964400
BRD-K73771198,COCCNC(=O)C[C@@H]1C[C@@H]2c3cc(NC(=O)COC)ccc3O[C@@H]2[C@H](CO)O1,0.966489088,15968989
BRD-K36605987,O=C(O)c1cncc(C(=O)O)c1,0.990512953,16003438
