Compound_ID,SMILES,Sau_R1_10uM,Sau_R2_10uM,Sau_Mean_10uM,HepG2_R1_10uM,HepG2_R2_10uM,HepG2_Mean_10uM,HSkMC_R1_10uM,HSkMC_R2_10uM,HSkMC_Mean_10uM,IMR90_R1_10uM,IMR90_R2_10uM,IMR90_Mean_10uM,Eco_stokes20_Mean,Abau_liu23_Mean
BRD-K37753391,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC)C,0.115111013,0.101323649,0.108217331,1.021304734,1.033412343,1.027358539,1.005621686,0.993507581,0.999564634,0.98206356,0.965217951,0.973640756,,
BRD-K67470788,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)CN1CCOCC1,0.098616359,0.117930609,0.108273484,1.025619835,0.998778035,1.012198935,0.99405517,1.001904144,0.997979657,0.981492862,1.035779281,1.008636072,,
BRD-K43389675,COc1cccc2c1C(=O)c1c(c3c(c(c1C2=O)O)C[C@](O)(C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C(=O)C)O,0.113038517,0.103678535,0.108358526,0.21298628,0.197513222,0.205249751,0.91914149,0.805961256,0.862551373,0.062064256,0.08337051,0.072717383,,
BRD-K00003205,COc1ccc2c(c1)N(CCN)C(=O)N2C(=O)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,0.110989602,0.106272824,0.108631213,0.065693918,0.066835128,0.066264523,0.04053688,0.037197714,0.038867297,0.065626814,0.075208156,0.070417485,,
BRD-K46400168,COC(=O)CCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,0.111422259,0.106467819,0.108945039,1.032588528,1.033670037,1.033129282,1.026567933,1.030482591,1.028525262,0.993928108,0.976326863,0.985127486,,
BRD-K41731458,Oc1cc(ccc1Oc1ccc(cc1Cl)Cl)Cl,0.113038517,0.105424699,0.109231608,1.050210081,1.031978656,1.041094369,0.994631271,0.988262022,0.991446647,1.020741138,0.972540963,0.996641051,,
BRD-K85490921,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C=Cc1scnc1C)c1csc(n1)N,0.114580928,0.104035099,0.109308014,1.008824462,1.015386076,1.012105269,1.003004085,1.003573119,1.003288602,0.996519123,1.221911274,1.109215199,,
BRD-K84976526,C[C@@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)CN(C)C)C#Cc1ccccc1,0.108092909,0.110701131,0.10939702,0.871510711,0.873793158,0.872651934,0.994926592,0.99769337,0.996309981,0.927593051,0.983313897,0.955453474,,
BRD-K58501140,Cc1cc(cc(c1-c1cccc(c1)COc1ccc2c(c1)OC[C@H]2CC(=O)O)C)OCCCS(=O)(=O)C,0.107699232,0.111100572,0.109399902,0.937520782,0.838465357,0.88799307,0.883542435,0.900951868,0.892247152,0.898838483,0.912243709,0.905541096,,
BRD-K45114938,CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](NC(=O)N3CCN(C3=O)S(=O)(=O)C)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,0.106160072,0.113304273,0.109732172,0.924652072,0.965449439,0.945050755,1.010062565,1.018444836,1.0142537,0.990030595,0.958601452,0.974316024,,
